work_key,ratings_count_1,ratings_count_2,ratings_count_3,ratings_count_4,ratings_count_5
OL3773934W,0,1,2,4,9
OL5236219W,1,0,5,7,5
OL3759472W,2,2,2,5,8
OL3775425W,1,2,5,7,10
OL8869211W,2,2,5,4,3
OL4440535W,2,1,3,7,1
OL25434351W,3,2,0,3,12
OL8433267W,2,0,4,4,8
OL4233152W,1,2,2,8,11
OL8315332W,1,1,2,9,8
OL3498690W,0,0,3,5,3
OL8315317W,0,1,4,7,5
OL15456729W,4,3,12,7,24
OL11327970W,2,0,4,2,5
OL17311801W,1,2,4,9,8
