05/21/2026 09:55:40 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] (12/20) Extracted romance fiction work's metadata
05/21/2026 09:55:45 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] (13/20) Extracted romance fiction work's metadata
05/21/2026 09:55:50 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] (14/20) Extracted romance fiction work's metadata
05/21/2026 09:55:55 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] (15/20) Extracted romance fiction work's metadata
05/21/2026 09:56:00 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] (16/20) Extracted romance fiction work's metadata
05/21/2026 09:56:04 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] (17/20) Extracted romance fiction work's metadata
05/21/2026 09:56:08 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] (18/20) Extracted romance fiction work's metadata
05/21/2026 09:56:12 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] (19/20) Extracted romance fiction work's metadata
05/21/2026 09:56:18 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] (20/20) Extracted romance fiction work's metadata
05/21/2026 09:56:22 AM | [INFO] | fetch_works_authors_series.py | [FETCH_WORKS_AUTHORS_SERIES] Finished extracting romance fiction works', authors' and series' metadata.
05/21/2026 09:56:22 AM | [INFO] | export_author_key_names.py | [EXPORT_AUTHOR_KEY_NAMES] Starting exporting of all authors' keys and names
05/21/2026 09:56:23 AM | [INFO] | export_author_key_names.py | [EXPORT_AUTHOR_KEY_NAMES] Key '/authors/OL1393290A' redirects to '/authors/OL39872A'. Added new raw page but original stays as is.
05/21/2026 09:56:23 AM | [INFO] | export_author_key_names.py | [EXPORT_AUTHOR_KEY_NAMES] Finished exporting all authors' keys and names
05/21/2026 09:56:23 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] Starting extraction of edition keys for each general work
05/21/2026 09:56:25 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (1/2000) Extracting edition keys for each general work
05/21/2026 09:56:30 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (2/2000) Extracting edition keys for each general work
05/21/2026 09:56:37 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (3/2000) Extracting edition keys for each general work
05/21/2026 09:56:43 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (4/2000) Extracting edition keys for each general work
05/21/2026 09:56:49 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (5/2000) Extracting edition keys for each general work
05/21/2026 09:56:56 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (6/2000) Extracting edition keys for each general work
05/21/2026 09:57:02 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (7/2000) Extracting edition keys for each general work
05/21/2026 09:57:09 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (8/2000) Extracting edition keys for each general work
05/21/2026 09:57:14 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (9/2000) Extracting edition keys for each general work
05/21/2026 09:57:20 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (10/2000) Extracting edition keys for each general work
05/21/2026 09:57:25 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (11/2000) Extracting edition keys for each general work
05/21/2026 09:57:32 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (12/2000) Extracting edition keys for each general work
05/21/2026 09:57:38 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (13/2000) Extracting edition keys for each general work
