work_key,title,subtitle,description,edition_count,first_publish_year,first_publish_date
OL11327658W,Devil and the Deep Sea,,"""A year out of your life. What price would you ask?""

Samma supposed that any other woman would surely slap the face of a man who would pose such a question. But Samma couldn't afford that luxury with Roche Delacroix.

With her stepfather ready to sell her ""favors"" to clear his gambling debts, Roche represented Samma's only avenue of escape from an unthinkable future on Cristoforo Island.

Only a few hours earlier, the lips that opened the suggestive negotiation had made Samma so thoroughly aware of being female. Samma couldn't help feeling that life was doubly unfair.",5,1988,
OL27310398W,Haunting Adeline,,"**The Manipulator**

I can manipulate the emotions of anyone who lets me.

I will make you hurt, make you cry, make you laugh and sigh.

But my words don't affect him. Especially not when I plead for him to leave.

He's always there, watching and waiting.

And I can never look away.

Not when I want him to come closer.

**The Shadow**

I didn't mean to fall in love.

But now that I have, I can't stay away.

I'm mesmerized by her smile, by her eyes, and the way she moves.

The way she undresses...

I'll keep watching and waiting. Until I can make her mine.

And once she is, I'll never let her go.

Not even when she begs me to.",16,2021,
OL2959315W,Breaking Point,,"The honeymoon was over

Rafe had wanted Tanya the moment he saw her. When he proposed, she'd been deliciously happy--happy to give up her job without a second thought, and devote herself to decorating their beautiful new home in Sydney's most prestigious neighborhood.

She hadn't realized then that the only intimacy he wanted with her was in their bed. Rafe put business--including his cool blond personal assistant--first.

Tanya was not about to spend the rest of her life waiting for a man who thought another woman was more important than his wife. The honeymoon was over. The marriage was at the breaking point.",3,1992,1993
OL20068530W,Verity,,"Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.
 
Lowen arrives at the Crawford home, ready to sort through years of Verity’s notes and outlines, hoping to find enough material to get her started. What Lowen doesn’t expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night her family was forever altered.
 
Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents could devastate the already grieving father. But as Lowen’s feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife’s words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her.",23,2018,
OL27818823W,Twisted Lies,,"He'll do anything to have her...including lie.

Charming, deadly, and smart enough to hide it, Christian Harper is a monster dressed in the perfectly tailored suits of a gentleman.

He has little use for morals and even less use for love, but he can’t deny the strange pull he feels toward the woman living just one floor below him.

She’s the object of his darkest desires, the only puzzle he can’t solve. And when the opportunity to get closer to her arises, he breaks his own rules to offer her a deal she can’t refuse.

Every monster has their weakness. She’s his.

His obsession.

His addiction.

His only exception.

---

Sweet, shy, and introverted despite her social media fame, Stella Alonso is a romantic who keeps her heart in a cage.

Between her two jobs, she has little time or desire for a relationship.

But when a threat from her past drives her into the arms—and house—of the most dangerous man she’s ever met, she’s tempted to let herself feel something for the first time in a long time.

Because despite Christian’s cold nature, he makes her feel everything when she’s with him.

Passionate.

Protected.

Truly wanted.

Theirs is a love twisted with secrets and tainted by lies…and when the truths are finally revealed, they could shatter everything.

Twisted Lies is a steamy fake dating romance. It's the fourth and final book in the Twisted series but can be read as a standalone.

Warning: The story contains explicit content, violence, profanity, and topics that may be sensitive to some readers. Please see inside the book for a detailed list. Recommended for 18+.",10,2022,
OL3775397W,Uncertain Destiny,,"""Can't you see how much loving someone hurts?""

Justin de Wolfe's words were prophetic for Caroline Maxwell. Drawn to Justin by a fierce mutual passion, the usually sensible Caroline married him knowing that he couldn't love her, just as she couldn't help loving him.

She accepted the hazards of marriage to the arrogant, magnetic lawyer. But Justin's reaction to Caroline's eager announcement of her pregnancy shocked her to the core.

So many things about Justin needed an explanation; his aversion to love, his sudden changes of mood and the woman from his past whose name he cried out in his sleep. Her, most of all.",5,1988,
OL11327660W,The Marriage Deal,,"Jago was the only possible solution

Ashley Landon was desperate. After two years of her best efforts as chairman, her family's business faced either bankruptcy or a takeover. Then Jago Marrick, her ex-fiance, turned up with a hardheaded alternative--marriage.

Ashley's first reaction was shock, but Jago seemed to be the company's only hope. As her husband and the new chairman, Jago's vast business experience could put Landons back on its feet.

Reluctantly Ashley accepted--only to find that he wanted much more from their marriage than she was prepared to give.

Mills & Boon

Ashley had put all thoughts of Jago Marrick behind her three years ago when he disillusioned her so totally about his motives for marrying her. She had grown a hard shell and learned how to fight her own battles in the business world and she was proud of her achievements. But now a problem faced her that she couldn't conquer and it seemed that Jago was the only man prepared to help her - at a price. Every instinct told Ashley not to trust him. But had she really an alternative?",4,1986,
OL11327987W,Falcon's Prey,,"Desert Bride. Felicia accepted there would be hurdles to overcome when she agreed to accompany her fiance, Faisal, to his homeland: she was ordinary English girl, and he was an Arab from a immensely wealthy family. But there was one particular problem she hadn't bargained for- Faisal's uncle, Sheikh Raschid al Hamid al Sabah. It wasn't just Raschid's mistaken conviction that Felicia was an unprincipled gold digger that was causing her alarm. It was the slowly awakening realization that she might have become engaged to the wrong man....",13,1981,
OL1708087W,To Catch A Butterfly,,"Kate had always adored Cornwall, and when the wealthy business tycoon Damian St. Ewan offered her a job there for two months - despite the fact that she didn't like tycoons in general and Damian St. Ewan in particular - she decided the opportunity was too good to miss. She had taken it for granted that the job in question was a secretarial one, so she was astounded when she arrived in Cornwall to learn that Damian had had something quite different in mind. It appeared that he wanted a temporary fiancee, to keep another woman at bay. And something told Kate that she would be playing with fire if she agreed . . .",3,1977,"March 1, 1985"
OL3759285W,Bought with His Name,,"To discourage him, Genista had deliberately let the arrogantly handsome Luke Ferguson believe that she was a promiscuous adventuress. She knew from experience the hurt a man could carelessly inflict on an innocent heart, and she realized how vulnerable she was to his brand of magnetism. Luke's proposal of marriage was a shock, as was his method of asking. It sounded very much like blackmail, and in the circumstances she had no alternative but to accept.",8,1982,
OL4342701W,Confirmed bachelor,,"Her assignment was glamorous but tough.

The man Robyn was sent to work with was the disreputable playboy author, Bradley Dexter--a man whose scandalous life-style and cynical attitude she despised.

However, Robyn wasn't easily deterred. She ignored the noisy parties and exotic women at Brad's villa and set determinedly to work.

Making Bradley concentrate on his manuscript required the most devious tactics--and Robyn pretended to be as jaded as he was. But falling in love with this outrageous man was never part of her plan!",4,1981,
OL3467487W,Contra Su Voluntad,(Against Her Will) (Harlequin Bianca (Spanish)),"Darcy Langton is stunned when she finds herself engaged to businessman Joel Castille—traded as part of a business merger! While Joel represents everything that she detests in a mate, he's also the most charismatic man she's ever met.Joel has no intentions of honoring their in-name-only agreement, and away from the boardroom Darcy is unable to resist his sensual persuasions. But when Darcy makes a shocking discovery, Joel must win her back—or risk losing his most valuable asset forever....",8,2006,"February 13, 2007"
OL21833211W,Priest,,"There are many rules a priest can't break. A priest cannot marry. A priest cannot abandon his flock. A priest cannot forsake his God.

I've always been good at following rules.

Until she came. Then I learned new rules.

My name is Tyler Anselm Bell. I'm twenty-nine years old. Six months ago, I broke my vow of celibacy on the altar of my own church, and God help me, I would do it again.

I am a priest and this is my confession.",5,2015,
OL4215998W,To Speak of Love,,"Chelsea had to grow into love.

Neglected by her parents, Chelsea Prescott was a rebellious, insecure teenager when she'd first met Ricardo Colchero at his family home in Madrid. ""Be careful about what you want, nina,"" the dark eyed banker had warned gently, ""because that's surely what you'll get.""

Finishing school and a year of traveling had transformed Chelsea from an awkward girl to a beautiful woman. Suddenly her easy relationship with Ricardo was complicated by a new and powerful attraction.

Ricardo's intentions were clear. He wanted Chelsea. But only if she was free and ready to choose love for itself.",4,1986,
OL5091273W,Dark Lover,,"In the shadows of the night in Caldwell, New York, there's a deadly turf war going on between vampires and their slayers. There exists a secret band of brothers like no other--six vampire warriors, defenders of their race. Yet none of them relishes killing their enemies, the lessers, more than Wrath, the leader of the Black Dagger Brotherhood....

The only purebred vampire left on the planet, Wrath has a score to settle with the slayers who murdered his parents centuries ago. But, when one of his most trusted fighters is killed--orphaning a half-breed daughter unaware of her heritage or her fate--Wrath must usher the beautiful female into the world of the undead....

Racked by a restlessness in her body that wasn't there before, Beth Randall is helpless against the dangerously sexy man who comes to her at night with shadows in his eyes. His tales of brotherhood and blood frighten her. But his touch ignites a dawning hunger that threatens to consume them both....",17,2005,
OL486967W,The Princess Bride,,"*The Princess Bride is a timeless tale that pits country against country, good against evil, love against hate. This incredible journey and artfully rendered love story is peppered with strange beasties monstrous and gentle, memorable surprises both terrible and sublime, and such unforgettable characters as...*

**Westley**, the handsome farm boy who risks death (and much worse) for the woman he loves; **Inigo**, the Spanish swordsman who lives only to avenge his father's death; **Fezzik**, the gentlest giant ever to have uprooted a tree with his bear hands; **Vizzini**, the evil Sicilian, with a mind so keen he's foiled by his own perfect logic; **Prince Humperdinck**, the eviler ruler of Guilder, who has an equally insatiable thirst for war and beauteous Buttercup; **Count Rugen**, the evilest man of all, who thrives on the excruciating pain of others; **Miracle Max**, the King's ex-Miracle Man, who can raise the dead (kind of); and, of course, **Buttercup**... the princess bride, the most perfect, beautiful woman in the history of the world!",31,1973,
OL3457830W,Not Once But Twice,,"Dr. Duert ter Brandt disapproved of Christina's relationship with his brother Adam, and he made sure they both knew it. True, he didn't stop Chrissy from coming to Holland to work near Adam. Still, he made it clear that her infatuation was not in the best interest of his hospital. But maybe he had other --hidden-- reasons for hoping that Chrissy would give up her notion of love at first sight…..",12,1981,"June 1, 2001"
OL3775449W,Taggart's Woman,,"She married into turbulence

To inherit her rightful share of the family airline business, Heather Danvers, 21, was forced to marry her late father's partner--Daniel Taggart, a rough-edged, self-made millionaire whose contempt for her was obvious.

In the two years since they'd first met, Heather's love had soared to dizzying heights while 34 year old Daniel's feelings had stayed in a holding pattern of indifference.

The thought of sleeping with Daniel now seemed to Heather a little like hell--and heaven! Would true love be forever on standby?",6,1987,
OL3775478W,Love's Duel,,"Four years ago, Leonie had gone through the worst experience of her life, when as a result of her innocent love affair with Jeremy Lindsay she had been confronted by the hateful John G Noble, who had done his best to wreck her. Since then Leonie had managed to rebuild her life, been married and widowed, and put the past behind her. But now, when she had least expected it, John Noble had reappeared, with no intention it seemed, of burying the past.",7,1982,
OL6794523W,Temporary Bride,,"It was a terrible choice for her

Yet Kit Landor was as implacable as his piercing blue eyes when he told Charlotte,

""You'll marry me or Uncle Joe gets what's coming to him.""

Charlotte couldn't let her beloved uncle go to prison. Besides, Kit was too attractive for his own good, and Charlotte was not immune to his charms.

But she wasn't going to let him have things all his own way. Why should she--especially when he really wanted the glamorous Veronica.",8,1988,
OL3771321W,Season of Mists,,"""Our marriage was a farce,"" Piers said. 

 Abby couldn't deny Piers's statement. Time had certainly proven that true, but the young Abby had loved him with all the passion within her. 

 At that time she could not have foreseen the awful events that had led him to deny his own son. Abby had done the only thing possible, she'd fled. 

 For twelve years she thought she hated Piers, and then he came back into her life. Try as she did to fight it, she realized hopelessly that she was as vulnerable as ever to his attraction.",11,1982,
OL11277304W,Out of Control,,"No man would get close to her again! 

The scars of an adolescent indiscretion were still so raw that Liza kept her heart uninvolved in any relationships. A modeling career and business had given her material success and peace of mind. 

Then she collided with G. K. Gifford outside her Essex cottage and poof - there went her hard-won serenity. For this wealthy man had crashed into her life to break up his nephew's friendship with a ""gold digger"" and the chemistry between them had flared.",4,1987,
OL3759349W,Past Passion,,"Too close...
 
At eighteen, Nicola had made a terrible mistake and eight years later is still punishing herself for her folly. But her shameful secret comes full circle when Matt Hunt walks back into her life -- as her new boss. Not that Matt recognizes the assured, controlled businesswoman as the girl who had shared his bed for one brief night. 

Her dread of discovery attacks her frail self-control. But so does Nicola's consuming need for the man who has haunted her dreams for so long. What will she do when Matt, inevitably, recognizes her...?",10,1992,
OL3458001W,The Girl with Green Eyes,,"Lucy wasn't a career girl

Unlike her two bright go-getting sisters, Lucy's goal was to find a man she loved and settle down with him to a life of happy domesticity.

But Mr. Right seemed to be peculiarly elusive. Until the day that Lucy encountered the eminent pediatrician William Thurloe and fell head-over-heels in love with him.

Not that she had the faintest hope of attracting his interest. Especially with the glamorous Fiona as direct competition. And yet Lucy knew there had to be some way of making William notice her.. . .",10,1990,1990
OL11327979W,Without Trust,,"She had been hurt too many times

 Accused by a malicious cousin of committing a scandalous crime, Lark Cummings, 22, was devastated. And, in the British courts, the prosecutor, ruthless James Wolfe, showed her no mercy.

 Then, incredibly, the case was dropped. And--out of the blue--impoverished Lark was offered an ideal job by a rich widow. She gladly accepted--unaware that disconcerting James Wolfe, 30, was her employer's enigmatic son.

 With James's reappearance in her life, Lark feared the powerful currents pulsing between them. She couldn't bear to risk her trust. Not to the man who'd once treated her so callously.",6,1988,
OL3457933W,When Two Paths Meet,,"He had saved her, but he didn't love her.
Katherine Marsh was practically a slave to her brother's family in the small English country where she lived. Then she met Dr. Jason Fitzroy - and fell instantly in love. 
Dr. Fitzroy found her a job at the hospital, and gave her a new sense of self-respect. He also gave her her first taste of freedom missing from her earlier years. 
But Katherine knew she could never truly be free - not while her heart was a prisoner of love.",12,1988,"October 1, 2001"
OL11327957W,A Man Possessed,,"He'd rejected her once already.

A cruel fate brought Dominic Harland back into Kate Hammond's life.

Eight years ago, in the midst of a bleak marriage, Kate had offered herself to Dominic only to be humiliatingly rejected. The pain had lingered, and after her husband's death she'd vowed there would be no men in her life.

Kate was starting over—selling her house, starting a business—when Dominic reappeared, still hurting her, still desiring her. But as she began to understand him, Kate's anger turned to love. And she was more afraid of Dominic than ever.",4,1986,
OL3759116W,Lover's Touch,,"Lady Eleanor de Tressail was simply mortified

Bad enough that before his death, her old-fashioned grandfather had ensured that their impoverished estate wouldn't have to be sold--by arranging her marriage. But to Joss Wycliffe of all people--the self-made millionaire who despised her!

Mistaking Nell's shyness for aristocratic disdain, Joss contemptuously told her that he was marrying her only for her social status. He never suspected that icily untouchable Nell loved him desperately.

Her wounded pride kept her from revealing her true feelings. Particularly when Joss's jealous secretary did her best to widen the rift between them...",6,1989,
OL9367818W,Never Count Tomorrow,,"The advertisement for a job as home help to the Wingard family on a farm in the hill country of New Zealand was just the thing Lin had been wanting - though not for the usual reasons. It was not the work she needed; it was that she hoped it would lead her to what she was searching for. But she had still not found it when she realised she had fallen in love with the son of the family, Soren, and everything crashed about her in ruins. Could she get away from him before she did any more harm?",3,1980,
OL5236259W,No Alternative,,"**Her second marriage would last forever...**

After 31 year old Kyle Endfield's betrayal of their 2 year marriage vows, 21 year old Lynda had rejected his wealth and power and divorced him immediately. She knew she would never love again, but she had been relieved to escape with some measure of her pride intact.

Kyle, however, had never accepted her defection. 3 years later, he exploited her brother's weakness for money and blackmailed Lynda into remarrying him -- this time for keeps.

To make matters worse, if Kyle were to become bored with his repossessed wife and return to his former mistress Olivia, Lynda would have no choice but to stay and endure the humiliation.",7,1983,
OL11327666W,A High Price to Pay,,"What choice did she really have?

Alison Mortimer had felt there was something going on over and above the appalling reality of her father's sudden death. And Nicholas Bristow's presence confirmed her suspicions.

Her father, she discovered, had lost everything in an attempt to save his business. Even Ladymead, the family home, had gone as security for loans. But 32 year old Nicholas Bristow, her father's lender, had not come to evict them.

The terms of settlement Nicholas offered took into account Ally's concern for her sister's future and her mother's peace of mind. At the price of their happiness, Ally could hardly refuse to marry him!",6,1986,
OL20650912W,House of Earth and Blood,,"Bound by blood.
Tempted by desire.
Unleashed by destiny.

Bryce Quinlan had the perfect life—working hard all day and partying all night—until a demon murdered her closest friends, leaving her bereft, wounded, and alone. When the accused is behind bars but the crimes start up again, Bryce finds herself at the heart of the investigation. She’ll do whatever it takes to avenge their deaths.

Hunt Athalar is a notorious Fallen angel, now enslaved to the Archangels he once attempted to overthrow. His brutal skills and incredible strength have been set to one purpose—to assassinate his boss’s enemies, no questions asked. But with a demon wreaking havoc in the city, he’s offered an irresistible deal: help Bryce find the murderer, and his freedom will be within reach.

As Bryce and Hunt dig deep into Crescent City’s underbelly, they discover a dark power that threatens everything and everyone they hold dear, and they find, in each other, a blazing passion—one that could set them both free, if they’d only let it.

With unforgettable characters, sizzling romance, and page-turning suspense, this richly inventive new fantasy series by #1 New York Times bestselling author Sarah J. Maas delves into the heartache of loss, the price of freedom—and the power of love.",18,2019,
OL8315359W,Impossible Bargain,,"""I want you to be my fiancee.""

 Julian Forrest's words were businesslike, but Merissa's first instinct was to run from the threatening brilliance of the raw male look of the man.

 Yet she agreed to his madcap scheme to pose as his bride-to-be, ostensibly to dispatch unwanted females from his busy life. After all, Merissa's modeling work barely provided for an ailing mother and a father's debts, and the fee Julian offered was exorbitant.

 She could do it, Merissa determined. She'd survive the necessary close contact with this unpredictable man--and hopefully the whole ridiculous affair--with her heart and her mind still her own!",4,1987,
OL77775W,The blue castle,,"Valancy Stirling is 29, unmarried, and has never been in love. Living with her overbearing mother and meddlesome aunt, she finds her only consolation in the ""forbidden"" books of John Foster and her daydreams of the Blue Castle--a place where all her dreams come true and she can be who she truly wants to be. After getting shocking news from the doctor, she rebels against her family and discovers a surprising new world, full of love and adventures far beyond her most secret dreams.",294,1926,"March 1, 1989"
OL21775531W,Destroy Me,,"In Shatter Me, Juliette escaped from The Reestablishment by seducing Warner -- and then putting a bullet in his shoulder. But as she'll learn in Destroy Me, Warner is not that easy to get rid of . . .

Back at the base and recovering from his near-fatal wound, Warner must do everything in his power to keep his soldiers in check and suppress any mention of a rebellion in the sector. Still as obsessed with Juliette as ever, his first priority is to find her, bring her back, and dispose of Adam and Kenji, the two traitors who helped her escape. But when Warner's father, the Supreme Commander of The Reestablishment, arrives to correct his son's mistakes, it's clear that he has much different plans for Juliette. Plans Warner simply cannot allow",4,2012,
OL3759318W,Beyond Compare,,"It was a mistake. It just had to be
Surely Howard would come to his senses and realize Holly was the one for him. When he did, she'd be waiting.

Meanwhile, though, Holly Witchell was determined to make Howard Neston

appreciate what he had lost in jilting her for her glamorous schoolmate, Rosamund. And who better than Drew Hammond to help her--after all,
Rosamund had jilted Drew to become engaged to Howard.

It seemed logical for Holly and Drew to pretend to be lovers while theywaited for their real loves to change their minds ....",7,1989,
OL27838518W,From Blood and Ash,,"A Maiden…

Chosen from birth to usher in a new era, Poppy’s life has never been her own. The life of the Maiden is solitary. Never to be touched. Never to be looked upon. Never to be spoken to. Never to experience pleasure. Waiting for the day of her Ascension, she would rather be with the guards, fighting back the evil that took her family, than preparing to be found worthy by the gods. But the choice has never been hers.

A Duty…

The entire kingdom’s future rests on Poppy’s shoulders, something she’s not even quite sure she wants for herself. Because a Maiden has a heart. And a soul. And longing. And when Hawke, a golden-eyed guard honor bound to ensure her Ascension, enters her life, destiny and duty become tangled with desire and need. He incites her anger, makes her question everything she believes in, and tempts her with the forbidden.

A Kingdom…

Forsaken by the gods and feared by mortals, a fallen kingdom is rising once more, determined to take back what they believe is theirs through violence and vengeance. And as the shadow of those cursed draws closer, the line between what is forbidden and what is right becomes blurred. Poppy is not only on the verge of losing her heart and being found unworthy by the gods, but also her life when every blood-soaked thread that holds her world together begins to unravel.",7,2020,
OL11327953W,Levelling the Score,,"He'd always made light of her feelings
 
When she was 15, Jenna had been infatuated with Simon Townsend, her best friend's teasing brother. Then infatuation changed to a curious uneasiness, one that made her feel edgy and restless in his company.
 
Fortunately she had little occasion to see much of him now, for, as a prominent 31 year old  London barrister, he moved in different circles than Jenna. But an escapade of his sister's threw Simon and Jenna, now 24, together again in a most awkward--not to mention compromising--situation. He thought it was funny. Jenna was not amused.
 
And she would have given anything to avoid the consequences!",7,1987,
