work_key,ratings_count_1,ratings_count_2,ratings_count_3,ratings_count_4,ratings_count_5
OL16048133W,0,0,4,1,2
OL15010W,0,0,1,3,3
OL20512441W,0,0,0,1,1
OL15400457W,0,3,2,3,0
OL3457874W,0,0,1,5,1
OL3458053W,0,0,0,5,1
OL15139250W,0,0,1,3,3
OL34568152W,0,0,0,1,2
OL11327725W,3,1,0,2,2
OL3845023W,1,0,1,5,3
OL3771190W,3,2,0,1,3
OL5730765W,0,0,5,7,11
OL4092555W,0,0,1,3,5
OL3771315W,0,1,1,4,3
OL24662068W,0,0,3,3,5
OL15684W,0,0,1,1,6
OL21181078W,1,2,0,3,2
OL4233134W,0,1,1,3,3
OL3498542W,1,1,4,6,3
OL4580338W,0,0,4,5,7
OL3775482W,0,0,3,6,3
OL42611094W,10,1,0,3,14
OL5691872W,2,0,2,2,3
OL5689129W,0,0,0,0,4
OL3759340W,1,0,5,3,1
OL15659W,0,0,0,2,3
OL15137409W,3,1,1,2,2
OL20734329W,4,0,5,14,7
OL3457669W,0,1,1,3,6
OL3770771W,1,1,2,8,1
OL111594W,0,1,3,1,3
OL3519312W,0,1,1,10,4
OL34341W,0,1,2,3,1
OL4181961W,0,0,1,7,7
OL3759178W,1,1,4,1,3
OL152328W,0,0,3,8,16
OL3845133W,1,1,0,3,4
OL15187345W,0,0,3,1,5
OL15956589W,0,0,3,3,6
OL554608W,4,0,5,6,8
OL15174764W,1,0,1,1,3
OL24138344W,0,0,5,2,9
OL3770463W,0,1,5,7,6
OL5236226W,1,1,6,3,1
OL14873597W,1,0,0,2,1
OL3458011W,0,0,1,5,3
OL11328453W,0,0,1,2,6
OL16793664W,4,0,0,3,12
OL5236181W,1,1,4,3,3
OL36043513W,0,0,0,1,1
OL15190892W,0,0,2,1,5
OL17388216W,0,1,4,1,3
OL5236093W,0,1,3,4,2
OL4092680W,0,0,1,5,2
OL27245840W,1,0,1,0,1
OL16033177W,0,4,0,4,3
OL28880495W,1,1,1,3,7
OL3498609W,1,1,4,6,4
OL14862503W,0,0,2,4,5
OL5686859W,0,1,0,2,2
OL20664315W,0,0,1,3,0
OL11327951W,1,1,2,1,3
OL3457887W,0,0,1,4,5
OL15334861W,0,0,0,4,6
OL5720033W,4,4,5,12,12
OL1902487W,0,0,0,2,4
OL15673W,0,0,3,1,6
OL3457649W,1,0,4,2,5
OL3498758W,0,0,4,4,5
OL36371W,0,0,1,2,6
OL17797857W,8,3,8,19,54
OL3498751W,0,1,2,2,2
